1.0,1
1.0,6
1.0,23
1.0,3
1.0,11
1.0,47
1.0,38
1.0,36
1.0,6
1.0,1
1.0,2
1.0,7
1.0,4
1.0,23
1.0,3
1.0,11
1.0,39
1.0,1
1.0,6
1.0,25
1.0,1
1.0,25
1.0,6
1.0,35
1.0,3
1.0,5
1.0,2
1.0,23
1.0,3
1.0,30
1.0,19
1.0,2
1.0,22
1.0,5
1.0,6
1.0,9
1.0,1
1.0,6
1.0,8
1.0,1
1.0,3
1.0,4
1.0,3
1.0,1
1.0,1
1.0,40
1.0,11
1.0,6
1.0,25
1.0,12
1.0,1
1.0,23
1.0,29
1.0,1
1.0,3
1.0,2
1.0,6
1.0,8
1.0,3
1.0,3
1.0,3
1.0,3
1.0,1
1.0,33
1.0,6
1.0,47
1.0,36
1.0,3
1.0,15
1.0,30
1.0,44
1.0,3
1.0,23
1.0,39
1.0,3
1.0,1
1.0,3
1.0,1
1.0,6
1.0,11
1.0,25
1.0,11
1.0,1
1.0,6
1.0,23
1.0,16
1.0,6
1.0,23
1.0,3
1.0,21
1.0,9
1.0,5
1.0,23
1.0,9
1.0,6
1.0,1
1.0,3
1.0,3
1.0,32
1.0,4
